Year,Year_Intake,University,School,Faculty,A Level Grade,A Level Grade Point,Diploma
2008/2009,2008,National University of Singapore,Faculty of Engineering & School of Computing,Computing (Information Systems),No Data,No Data,No Data
2019/2020,2019,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,AAB/C,80,3.87
2018/2019,2018,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,AAB/C,80,3.74
2017/2018,2017,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,AAB/C,80,3.81
2016/2017,2016,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,AAB/C,80,3.77
2015/2016,2015,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBB/B,76.25,3.77
2014/2015,2014,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBC/C,72.5,3.78
2013/2014,2013,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BCC/B,71.25,3.68
2012/2013,2012,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BCC/B,71.25,3.81
2011/2012,2011,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBC/B,73.75,3.77
2010/2011,2010,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBB/B,76.25,3.75
2009/2010,2009,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBB/C,75,3.61
2008/2009,2008,National University of Singapore,Faculty of Engineering & School of Computing,Computer Engineering,BBB/C,75,3.33
2019/2020,2019,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),AAA/A,85,No Data
2018/2019,2018,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),AAA/A,85,No Data
2017/2018,2017,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2016/2017,2016,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2015/2016,2015,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2014/2015,2014,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2013/2014,2013,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2012/2013,2012,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2011/2012,2011,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
2010/2011,2010,National University of Singapore,Faculty of Science,Science (Pharmaceutical Science),No Data,No Data,No Data
